The bag lady
Chez Panisse cafe
The french laundry
Spago
Chipotle
McDonald's
Pizza Hut
Starbucks
Wendy's
Panda express
Subway
Burger King
Taste
Dunkin donuts
Five guys
Kentucky fried chicken
Papa Johns pizza
Popeyes
